Funding_Programme,County,Project_Name,Units,Approved_Housing_Body,Capital_Appraisal_Q,Capital_Appraisal_Year,Pre_Planning_Q,Pre_Planning_Year,Pre_Tender_Design_Q,Pre_Tender_Design_Year,Approval_Q,Approval_Year,On_Site_Q,On_Site_Year,Completed_Q,Completed_Year
Ship Construction,Carlow,Myshall,4,N/A,,0,,0,,0,,0,,0,Q1,2018
Ship Construction,Carlow,"Pound Lane, Borris",4,N/A,,0,,0,,0,,0,,0,Q3,2017
Ship Construction,Carlow,Rathvilly,10,N/A,,0,,0,,0,,0,,0,Q2,2017
Ship Construction,Carlow,"Moneybeg, Bagenalstown",24,N/A,,0,,0,,0,,0,,0,Q3,2017
Ship Construction,Carlow,"Paulville, Tullow (SRD)",1,N/A,,0,,0,,0,,0,,0,Q3,2017
Ship Construction,Carlow,"Maryborough St., Carlow",5,N/A,,0,,0,,0,,0,,0,Q1,2018
Ship Construction,Carlow,"Drumin, St. Mullins (SRD)",1,N/A,,0,,0,,0,,0,,0,Q1,2019
Ship Construction,Carlow,"Pound Lane, Borris, Co. carlow",9,N/A,,0,,0,Q1,2020,,0,,0,,0
Cas Construction Turnkey,Carlow,"Pollerton Big, Carlow",6,Tintean Housing Association Ltd,,0,,0,,0,Q1,2019,,0,,0
Cas Construction,Carlow,"Gleann na Bearu, Royal Oak Road, Bagenalstown",6,Respond,,0,,0,Q4,2017,,0,,0,,0
Cas Construction,Carlow,"Ballincarrig, Wexford Road",6,Tintean Housing Association Ltd,,0,,0,,0,,0,,0,Q4,2016
Cas Construction,Carlow,"Homefield, Blackbog Road, Carlow",3,Carlow Voluntary Housing Association,,0,,0,,0,Q2,2020,,0,,0
Calf Turnkey,Carlow,"7 units, Rivercourt, Carlow (Phase 1)",3,Co - Operative Housing Ireland Society Limited,,0,,0,,0,,0,,0,Q3,2019
Calf Turnkey,Carlow,"7 units, Rivercourt, Carlow (Phase 2)",4,Co - Operative Housing Ireland Society Limited,,0,,0,,0,,0,,0,Q4,2019
Calf Turnkey,Carlow,"Ballickmoyler, Graigcullen, Carlow (Phase 1)",15,Co - Operative Housing Ireland Society Limited,,0,,0,,0,,0,Q3,2019,,0
Calf Turnkey,Carlow,"Ballickmoyler, Graigcullen, Carlow (Phase 2)",22,Co - Operative Housing Ireland Society Limited,,0,,0,,0,,0,Q3,2019,,0
Calf Turnkey,Carlow,"Ballickmoyler, Graigcullen, Carlow (Phase 3)",20,Co - Operative Housing Ireland Society Limited,,0,,0,,0,,0,Q3,2019,,0
Calf Turnkey,Carlow,"Barrett Street, Bagnalstown, Co. Carlow (Phase 1)",10,Tintean Housing Association Ltd,,0,,0,,0,,0,,0,Q1,2018
Calf Turnkey,Carlow,"Browneshill Rise, Browneshill Road, Chapelstown, Carlow (Phase 1)",15,Túath Housing Association Ltd,,0,,0,,0,,0,,0,Q4,2018
Calf Turnkey,Carlow,"Browneshill Rise, Browneshill Road, Chapelstown, Carlow (Phase 2)",12,Túath Housing Association Ltd,,0,,0,,0,,0,,0,Q2,2019
Calf Turnkey,Carlow,"Browneshill Rise, Browneshill Road, Chapelstown, Carlow (Phase 3)",10,Túath Housing Association Ltd,,0,,0,,0,,0,,0,Q2,2019
Calf Turnkey,Carlow,"Browneshill Rise, Browneshill Road, Chapelstown, Carlow (Phase 4)",6,Túath Housing Association Ltd,,0,,0,,0,,0,,0,Q3,2019
Calf Turnkey,Carlow,"Browneshill Rise, Browneshill Road, Chapelstown, Carlow (Phase 5)",16,Túath Housing Association Ltd,,0,,0,,0,,0,,0,Q4,2019
Calf Turnkey,Carlow,"Browneshill Wood, Browneshill Road, Chapelstown, Carlow (Phase 1)",14,Túath Housing Association Ltd,,0,,0,,0,,0,,0,Q4,2018
Calf Turnkey,Carlow,"Greenhills, Leighlin Road, Graiguecullen, Carlow (Phase 1)",8,Co - Operative Housing Ireland Society Limited,,0,,0,,0,,0,Q3,2019,,0
Calf Turnkey,Carlow,"Mill Race, Paupish Lane, Carlow, Co. Carlow (Phase 1)",3,Túath Housing Association Ltd,,0,,0,,0,,0,Q4,2019,,0
Calf Turnkey,Carlow,"Mill Race, Paupish Lane, Carlow, Co. Carlow (Phase 2)",6,Túath Housing Association Ltd,,0,,0,,0,,0,Q4,2019,,0
Calf Turnkey,Carlow,"Rivercourt,  Carlow  (Phase 1)*",8,Co - Operative Housing Ireland Society Limited,,0,,0,,0,,0,Q3,2018,,0
Calf Turnkey,Carlow,"Rivercourt,  Carlow  (Phase 2)",8,Co - Operative Housing Ireland Society Limited,,0,,0,,0,,0,Q3,2018,,0
Calf Turnkey,Carlow,"Rivercourt,  Carlow  (Phase 3)",12,Co - Operative Housing Ireland Society Limited,,0,,0,,0,,0,Q3,2018,,0
Calf Turnkey,Carlow,"Rivercourt,  Carlow  (Phase 4)",9,Co - Operative Housing Ireland Society Limited,,0,,0,,0,,0,Q3,2018,,0
Calf Turnkey,Carlow,"Rivercourt,  Carlow  (Phase 5)",10,Co - Operative Housing Ireland Society Limited,,0,,0,,0,,0,Q3,2018,,0
Calf Turnkey,Carlow,"Sleaty Street, Graigcullen, Carlow  (Phase 1)",26,Cluid Housing,,0,,0,,0,,0,,0,Q1,2019
Calf Turnkey,Carlow,"Tanner Hall, Athy Road, Carlow (Phase 1)",9,Co - Operative Housing Ireland Society Limited,,0,,0,,0,,0,Q1,2007,,0
Calf Turnkey,Carlow,"The Millrace, Burrin, Co. Carlow (Phase 1)*",22,Co - Operative Housing Ireland Society Limited,,0,,0,,0,Q4,2019,,0,,0
Ship Construction Turnkey,Cavan,"Ashgrove, Derrylurgan, Ballyjamesduff",3,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction Turnkey,Cavan,"Ashgrove, Derrylurgan, Ballyjamesduff (Phase 2)",4,N/A,,0,,0,,0,,0,Q2,2019,,0
Ship Construction Turnkey,Cavan,"Ashgrove, Derrylurgan, Ballyjamesduffy (Phase 3)",3,N/A,,0,,0,,0,,0,Q2,2019,,0
Ship Construction Turnkey,Cavan,"Woodlands, Killyfinla, Ballyjamesduff ",32,N/A,,0,,0,,0,Q2,2020,,0,,0
Ship Construction Turnkey,Cavan,"Ashgrove, Derrylurgan, Ballyjamesduff (Phase 4)",4,N/A,,0,,0,,0,,0,Q2,2019,,0
Ship Construction,Cavan,"Rosehill, Mullagh (Phase 6)",8,N/A,,0,,0,,0,,0,,0,Q1,2019
Ship Construction,Cavan,Butlersbridge,4,N/A,,0,,0,,0,,0,,0,Q1,2018
Ship Construction,Cavan,"Woodlands, Ballyhaise",8,N/A,,0,,0,,0,,0,,0,Q4,2018
Ship Construction,Cavan,Butlersbridge (Phase 1),2,N/A,,0,,0,,0,,0,,0,Q2,2017
Ship Construction,Cavan,"Clones Road, Butlersbridge",2,N/A,,0,,0,,0,,0,Q1,2020,,0
Ship Construction,Cavan,"Corstruce, Ballinagh",4,N/A,,0,,0,,0,,0,Q1,2020,,0
Ship Construction,Cavan,"Main Street, Mullagh",19,N/A,,0,,0,,0,Q2,2020,,0,,0
Ship Construction,Cavan,"Elm Grove, Main St, Cavan Town",13,N/A,Q1,2018,,0,,0,,0,,0,,0
Ship Construction,Cavan,"Cavan Road, Ballinagh",15,N/A,,0,Q3,2019,,0,,0,,0,,0
Ship Construction,Cavan,"Main St., Butlersbridge",6,N/A,,0,,0,Q2,2020,,0,,0,,0
Ship Construction,Cavan,"Cluain Dara, Kingscourt",3,N/A,,0,,0,Q2,2020,,0,,0,,0
Ship Construction,Cavan,"Magheranure, Cootehill, Co. Cavan",22,N/A,,0,Q2,2020,,0,,0,,0,,0
Ship Construction,Cavan,"Fairymount Close, Kingscourt, Co. Cavan",3,N/A,Q4,2019,,0,,0,,0,,0,,0
Ship Construction,Cavan,"St. Bridgets Terrace, Cavan Town (Infill)",12,N/A,Q4,2019,,0,,0,,0,,0,,0
Ship Construction,Cavan,"Beckscourt, Eastboro, Bailieborough",47,N/A,Q2,2020,,0,,0,,0,,0,,0
Cas Construction Turnkey,Cavan,"Castlemanor Village, Cavan Town",29,Túath Housing Association Ltd,,0,,0,,0,,0,,0,Q3,2019
Cas Construction,Cavan,"St. Killian's Housing Association Ltd., Mullagh, Co. Cavan",4,"St. Killian's Housing Association, Mullagh, Co. Cavan",Q2,2020,,0,,0,,0,,0,,0
Calf Turnkey,Cavan,"16 Units, Fairgreen Park, Mullagh, Co. Cavan (Phase 1)",16,Clanmil Housing Association Ireland,,0,,0,,0,,0,Q1,2020,,0
Calf Turnkey,Cavan,"25 units, Drumalee Manor, Drumalee, Co. Cavan (Phase 1)",12,Túath Housing Association Ltd,,0,,0,,0,Q3,2019,,0,,0
Calf Turnkey,Cavan,"25 units, Drumalee Manor, Drumalee, Co. Cavan (Phase 2)",13,Túath Housing Association Ltd,,0,,0,,0,Q3,2019,,0,,0
Calf Turnkey,Cavan,"Cluain Dara, Kingscourt, Co Cavan (Phase 1)",16,Cluid Housing,,0,,0,,0,,0,,0,Q4,2016
Calf Turnkey,Cavan,"Drumalee Manor, Drumalee, Cavan (Phase 1)",4,Túath Housing Association Ltd,,0,,0,,0,,0,,0,Q2,2018
Calf Turnkey,Cavan,"Drumalee Manor, Drumalee, Cavan (Phase 2)",5,Túath Housing Association Ltd,,0,,0,,0,,0,,0,Q3,2018
Calf Turnkey,Cavan,"Drumalee Manor, Drumalee, Cavan (Phase 3)",2,Túath Housing Association Ltd,,0,,0,,0,,0,,0,Q4,2018
Calf Turnkey,Cavan,"Rampart View, Virginia, Co. Cavan (Phase 1)",2,Co - Operative Housing Ireland Society Limited,,0,,0,,0,,0,,0,Q3,2019
Calf Turnkey,Cavan,"Rampart View, Virginia, Co. Cavan (Phase 2)",6,Co - Operative Housing Ireland Society Limited,,0,,0,,0,,0,,0,Q4,2019
Calf Turnkey,Cavan,"Rampart View, Virginia, Co. Cavan (Phase 3)",11,Co - Operative Housing Ireland Society Limited,,0,,0,,0,,0,Q1,2019,,0
Calf Turnkey,Cavan,"The Gallops, Cavan Town, Co. Cavan (Phase 1)",12,Cluid Housing,,0,,0,,0,,0,Q4,2019,,0
Calf Turnkey,Cavan,"The Gallops, Cavan Town, Co. Cavan (Phase 2)",10,Cluid Housing,,0,,0,,0,,0,Q4,2019,,0
Calf Turnkey,Cavan,"The Gallops, Cavan Town, Co. Cavan (Phase 3)*",12,Cluid Housing,,0,,0,,0,,0,Q4,2019,,0
Ship Construction Turnkey,Clare,"River View, School Road, Corofin",2,N/A,,0,,0,,0,,0,,0,Q4,2018
Ship Construction Turnkey,Clare,Cloughleigh Road + Shallee Drive,4,N/A,,0,,0,,0,,0,Q2,2020,,0
Ship Construction Turnkey,Clare,"Shantraud Woods, Killaloe",4,N/A,,0,,0,,0,Q2,2020,,0,,0
Ship Construction,Clare,"Cappagh Lodge, Sixmilebridge",2,N/A,,0,,0,,0,,0,Q1,2020,,0
Ship Construction,Clare,"St. Michaels Place, Kilmihil",2,N/A,,0,,0,,0,,0,Q1,2020,,0
Ship Construction,Clare,"Madden's Terrace, Clarecastle",2,N/A,,0,,0,,0,Q4,2019,,0,,0
Ship Construction,Clare,"Roslevan, Ennis",8,N/A,,0,,0,,0,,0,,0,Q2,2020
Ship Construction,Clare,Feakle,13,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction,Clare,"Glor Srutha, Knockbrack Lower, Clonlara",9,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction,Clare,"Seaview Park, Quilty",18,N/A,,0,,0,,0,,0,Q2,2019,,0
Ship Construction,Clare,"Ashline, Kilrush Road, Ennis",40,N/A,,0,,0,Q1,2020,,0,,0,,0
Ship Construction,Clare,Miltown Malbay,27,N/A,,0,,0,Q2,2020,,0,,0,,0
Ship Construction,Clare,"Doonaun, Tulla",25,N/A,,0,Q4,2019,,0,,0,,0,,0
Ship Construction,Clare,"Boheraroan, Newmarket-on-Fergus",18,N/A,,0,Q1,2020,,0,,0,,0,,0
Ship Construction,Clare,Scariff,18,N/A,Q4,2019,,0,,0,,0,,0,,0
Ship Construction,Clare,"Kilkee Road, Doonbeg",8,N/A,,0,,0,,0,,0,Q1,2020,,0
Ship Construction,Clare,"Tulla Road, Roslevan, Ennis",8,N/A,Q4,2019,,0,,0,,0,,0,,0
Ship Construction,Clare,"St Senan's Terrace, Kilrush",3,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction,Clare,"Drumcliffe Road, Ennis, Co. Clare",26,N/A,Q2,2020,,0,,0,,0,,0,,0
Cas Construction Turnkey,Clare,"Haggard View, Clarecastle (Phase 2)",2,Anvers Housing Association Ltd,,0,,0,,0,,0,,0,Q2,2018
Cas Construction Turnkey,Clare,"Haggard View, Clarecastle (Phase 1)",2,Anvers Housing Association Ltd,,0,,0,,0,,0,,0,Q1,2018
Cas Construction,Clare,"Cahercalla, Ennis (Phase 2)",15,Cuan an Chlair Ltd,,0,,0,,0,,0,Q3,2019,,0
Cas Construction,Clare,"Laurel Lodge, Clare Road, Ennis",3,Society of Saint Vincent de Paul,,0,,0,,0,,0,,0,Q4,2016
Cas Construction,Clare,Monaskeha Heights,4,Newgrove Housing Association Ltd,,0,,0,,0,,0,,0,Q3,2019
Cas Construction,Clare,Roo East,4,Thomond Housing Association Ltd,,0,,0,,0,,0,,0,Q4,2018
Cas Construction,Clare,"9 Elmwood, Ballycannon Heights, Meelick",4,Thomond Housing Association Ltd,,0,,0,,0,,0,,0,Q1,2019
Cas Construction,Clare,"Teach Rua, Edenvale Ennis",4,Newgrove Housing Association Ltd,Q2,2019,,0,,0,,0,,0,,0
Calf Turnkey,Clare,"Acha Bhile, Loughville, Lahinch Road, Ennis, Co Clare  (Phase 1)",12,Cluid Housing,,0,,0,,0,,0,,0,Q2,2018
Calf Turnkey,Clare,"Acha Bhile, Loughville, Lahinch Road, Ennis, Co Clare  (Phase 2)",18,Cluid Housing,,0,,0,,0,,0,,0,Q4,2018
Calf Turnkey,Clare,"Cahercalla, Drumbiggle, Ennis, Co. Clare (Phase 1)*",2,Cluid Housing,,0,,0,,0,,0,Q2,2019,,0
Calf Turnkey,Clare,"Cahercalla, Drumbiggle, Ennis, Co. Clare (Phase 2)*",2,Cluid Housing,,0,,0,,0,,0,Q2,2019,,0
Calf Turnkey,Clare,"Cluain Fia, Crusheen, Co. Clare (Phase 1)*",2,Cluid Housing,,0,,0,,0,,0,,0,Q2,2020
Calf Turnkey,Clare,"Cluain Fia, Crusheen, Co. Clare (Phase 2)*",2,Cluid Housing,,0,,0,,0,,0,Q1,2019,,0
Calf Turnkey,Clare,"Cluain Ros Leamhan, Roslevan, Tulla Road, Ennis, Co. Clare (Phase 1)",3,Co - Operative Housing Ireland Society Limited,,0,,0,,0,,0,,0,Q4,2018
Calf Turnkey,Clare,"Cluain Ros Leamhan, Roslevan, Tulla Road, Ennis, Co. Clare (Phase 2)",2,Co - Operative Housing Ireland Society Limited,,0,,0,,0,,0,,0,Q2,2019
Calf Turnkey,Clare,"Gleann Cora, Newmarket on Fergus, Co. Clare (Phase 1)*",31,Co - Operative Housing Ireland Society Limited,,0,,0,,0,,0,Q2,2019,,0
Calf Turnkey,Clare,"Lios Anama, Sixmilebridge, Clare (Phase 1)",28,Co - Operative Housing Ireland Society Limited,,0,,0,,0,,0,,0,Q4,2017
Calf Construction,Clare,"Revised - Bruachlan, Westbury, Co Clare (Phase 1)",22,Co - Operative Housing Ireland Society Limited,,0,,0,,0,Q1,2017,,0,,0
Calf Turnkey,Clare,"Sycamore Drive, Ennis, Co. Clare (Phase 1)*",3,Cluid Housing,,0,,0,,0,,0,,0,Q4,2019
Calf Turnkey,Clare,"Sycamore Drive, Ennis, Co. Clare (Phase 2)*",2,Cluid Housing,,0,,0,,0,,0,Q3,2018,,0
Calf Turnkey,Clare,"Tullyvarraga, Shannon, Co. Clare (Phase 1)*",31,Co - Operative Housing Ireland Society Limited,,0,,0,,0,,0,,0,Q4,2019
Calf Turnkey,Clare,"Tullyvarraga, Shannon, Co. Clare (Phase 2)",16,Co - Operative Housing Ireland Society Limited,,0,,0,,0,,0,,0,Q4,2019
Ship Construction Turnkey,Cork City,Arus Mhuire,30,N/A,,0,,0,,0,,0,,0,Q4,2018
Ship Construction Turnkey,Cork City,Barrack Street,32,N/A,,0,,0,,0,Q1,2018,,0,,0
Ship Construction Turnkey,Cork City,FaranFerris,5,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction Turnkey,Cork City,High Street,9,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction Turnkey,Cork City,Tramore Road,4,N/A,,0,,0,,0,,0,,0,Q4,2018
Ship Construction Turnkey,Cork City,Whites Street,43,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction Turnkey,Cork City,Woods Street,16,N/A,,0,,0,,0,Q1,2018,,0,,0
Ship Construction Turnkey,Cork City,"Church Road, Blackrock",43,N/A,,0,,0,,0,,0,,0,Q3,2018
Ship Construction Turnkey,Cork City,"1-5, Ard Aoibhinn, Banduff, Mayfield",5,N/A,,0,,0,,0,,0,,0,Q3,2018
Ship Construction Turnkey,Cork City,Corcorans Quay,3,N/A,,0,,0,,0,,0,Q2,2018,,0
Ship Construction Turnkey,Cork City,Blarney Street,25,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction Turnkey,Cork City,"Ballinure Road, Cork City",5,N/A,,0,,0,,0,Q3,2018,,0,,0
Ship Construction Turnkey,Cork City,"Moss Lane, Riverway, Cork",5,N/A,,0,,0,,0,Q3,2018,,0,,0
Ship Construction Turnkey,Cork City,"7-11 Gerald Griffin Street, Cork",13,N/A,,0,,0,,0,,0,Q2,2019,,0
Ship Construction Turnkey,Cork City,"29/30 Lower John Street, Cork",17,N/A,,0,,0,,0,,0,Q1,2019,,0
Ship Construction Turnkey,Cork City,"Skehard Road, Blackrock, Cork",16,N/A,,0,,0,,0,Q2,2019,,0,,0
Ship Construction Turnkey,Cork City,"Coach Street, Cork",12,N/A,,0,,0,,0,Q2,2019,,0,,0
Ship Construction Turnkey,Cork City,"Shanakiel Road, Cork",20,N/A,,0,,0,,0,Q2,2019,,0,,0
Ship Construction Turnkey,Cork City,"Spring Lane, Blackpool, Cork",8,N/A,,0,,0,,0,Q2,2019,,0,,0
Ship Construction Turnkey,Cork City,"Glen Ryan Road, Cork",9,N/A,,0,,0,,0,Q2,2019,,0,,0
Ship Construction Turnkey,Cork City,"Pouladuff Road, Cork ",11,N/A,,0,Q2,2020,,0,,0,,0,,0
Ship Construction Turnkey,Cork City,"Watercourse Road, Blackpool, Cork",37,N/A,,0,Q2,2020,,0,,0,,0,,0
Ship Construction Turnkey,Cork City,1-4 Marble Lane,4,N/A,,0,,0,,0,,0,,0,Q4,2017
Ship Construction Turnkey,Cork City,"Sheridan Park, Tramore Road",28,N/A,,0,,0,,0,,0,,0,Q4,2016
Ship Construction Turnkey,Cork City,"37-39 Dublin Street, Blackpool, Cork",5,N/A,,0,,0,,0,,0,,0,Q2,2018
Ship Construction Turnkey,Cork City,"6-10, Ard Aoibhinn, Banduff, Mayfield",5,N/A,,0,,0,,0,,0,,0,Q4,2018
Ship Construction Turnkey,Cork City,"2 Deanrock Cottages, Togher",4,N/A,,0,,0,,0,,0,,0,Q4,2018
Ship Construction Turnkey,Cork City,"258 & 259 Blarney Street, Cork",2,N/A,,0,,0,,0,,0,,0,Q1,2018
Ship Construction Turnkey,Cork City,"1 & 2 The Groves, Skehard Road, Cork",2,N/A,,0,,0,,0,,0,,0,Q2,2018
Ship Construction Turnkey,Cork City,"3B & 9B South Terrace Court, South Terrace, Cork",2,N/A,,0,,0,,0,,0,,0,Q4,2018
Ship Construction Turnkey,Cork City,"Ballinlough Road / Knockrea Lawn, Ballinlough, Cork",6,N/A,,0,,0,,0,,0,,0,Q2,2019
Ship Construction Turnkey,Cork City,"Ard na Ri, Banduff Road, Cork",10,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction Turnkey,Cork City,"Gearney's Boreen, Commons Road, Cork",3,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction Turnkey,Cork City,"Ard na Ri, Banduff Road, Cork (Phase 2)",10,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction Turnkey,Cork City,"Eagle Valley, Sarsfield Road",1,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction Turnkey,Cork City,"Knockfree Avenue, Glengarriff Road, Fairhill, Cork",2,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction Turnkey,Cork City,"3-10 Herbert Lawn, Belmont, Rochestown, Cork",8,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction Turnkey,Cork City,"Elton Wood & Herbert Lawn, Rochestown, Cork ",8,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction Turnkey,Cork City,"Aspen Drive, Maryborough Hill, Cork ",29,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction Turnkey,Cork City,"5 Fairfield Heights, Upper Fairhill, Cork ",3,N/A,,0,,0,,0,Q2,2020,,0,,0
Ship Construction Turnkey,Cork City,"20 & 22, Ringcroft Avenue, Ringmahon Road, Mahon, Cork",2,N/A,,0,,0,,0,Q2,2020,,0,,0
Public Private Partnership (Bundle 2),Clare,Shannon East,51,N/A,,0,,0,,0,,0,Q4,2019,,0
Ship Construction,Cork City,"Poulavone, Ballincollig",57,N/A,,0,Q3,2019,,0,,0,,0,,0
Ship Construction,Cork City,"The Meadows, Knocknacullen",1,N/A,,0,,0,,0,,0,,0,Q3,2016
Ship Construction,Cork City,Boyces Street,51,N/A,,0,,0,Q1,2019,,0,,0,,0
Ship Construction,Cork City,Shandon Street/John Philpott Curran Street,9,N/A,,0,,0,,0,,0,Q4,2019,,0
Ship Construction,Cork City,St. Johns Well,6,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction,Cork City,Churchfield Place East,3,N/A,,0,,0,,0,,0,,0,Q4,2018
Ship Construction,Cork City,"Deanrock, Togher (Phase 1)",8,N/A,,0,,0,,0,,0,,0,Q4,2018
Ship Construction,Cork City,Gerald Griffin Street,43,N/A,,0,,0,Q3,2019,,0,,0,,0
Ship Construction,Cork City,Cappanoole,2,N/A,,0,,0,,0,,0,,0,Q4,2016
Ship Construction,Cork City,"Madonna House, Ballincollig (Phase 2)",6,N/A,,0,Q4,2019,,0,,0,,0,,0
Ship Construction,Cork City,Bramble Cottages,5,N/A,,0,Q3,2019,,0,,0,,0,,0
Ship Construction,Cork City,"Errigal Heights, The Glen, Cork City",32,N/A,,0,Q2,2020,,0,,0,,0,,0
Ship Construction,Cork City,"Glenamoy Lawn, Mayfield, Cork",3,N/A,,0,Q3,2019,,0,,0,,0,,0
Ship Construction,Cork City,"Deanrock, Togher (Phase 2)",7,N/A,,0,,0,,0,,0,,0,Q1,2019
Ship Construction,Cork City,"Hollywood Estate Infill Housing, Blarney Road, Cork",7,N/A,,0,Q4,2019,,0,,0,,0,,0
Ship Construction,Cork City,"Deanrock, Togher (Phase 3)",50,N/A,,0,,0,,0,,0,,0,Q3,2019
Ship Construction,Cork City,"Clover Hill Court, Bessboro Road, Mahon, Cork",51,N/A,Q2,2019,,0,,0,,0,,0,,0
Ship Construction,Cork City,"Westside, Model Farm Road, Cork",32,N/A,Q2,2019,,0,,0,,0,,0,,0
Ship Construction,Cork City,"Gerald Griffin Apartments - Block 7, North Monastery Road / St. Vincent's Road, Cork",6,N/A,Q3,2019,,0,,0,,0,,0,,0
Regeneration,Cork City,Phase 1 B Knocknaheeny,29,N/A,,0,,0,,0,,0,,0,Q4,2017
Regeneration,Cork City,Phase 2 A Knocknaheeny,47,N/A,,0,,0,,0,,0,,0,Q4,2019
Regeneration,Cork City,Phase 1 C Knocknaheeny,41,N/A,,0,,0,Q2,2020,,0,,0,,0
Regeneration,Cork City,Phase 2 B Knocknaheeny,38,N/A,,0,,0,Q2,2020,,0,,0,,0
Regeneration,Cork City,Phase 2 C Knocknaheeny,24,N/A,,0,,0,,0,,0,Q4,2019,,0
Regeneration,Cork City,"Foyle Avenue Infill Housing Development, Foyle Avenue, Knocknaheeny, Cork",2,N/A,,0,,0,Q1,2020,,0,,0,,0
Regeneration,Cork City,"Ardmore Avenue, Knocknaheeny, Cork",1,N/A,,0,,0,Q1,2020,,0,,0,,0
Regeneration,Cork City,Phase 3 B Knocknaheeny,62,N/A,Q2,2019,,0,,0,,0,,0,,0
Regeneration,Cork City,Phase 4A,43,N/A,Q2,2020,,0,,0,,0,,0,,0
Cas Construction,Cork City,"Edel House, Grattan Street",37,Good Shepherd Services Ltd,,0,,0,,0,,0,Q2,2019,,0
Cas Construction,Cork City,Thomas Davis Street (Phase 1),28,Respond,,0,,0,Q4,2019,,0,,0,,0
Cas Construction,Cork City,"Ceanncora Lawn, Ballinlough",1,Cork Mental Health Voluntary Housing Association Ltd,,0,,0,,0,,0,,0,Q3,2018
Cas Construction,Cork City,"St. Joachim & Anne's, Anglesea Street",8,Simon Community: Cork Simon,,0,,0,,0,,0,Q3,2019,,0
